Row,Quantity Per PCB,References,Value,Datasheet,Footprint,Description,Manufacturer,Manufacturer Part Number,Supplier Part Number
1,1,BZ1,MLT-8530,https://lcsc.com/product-detail/Buzzers_MLT-8530_C94599.html,BUZ-SMD_4P-L8.5-W8.5-P8.50-BR,Electro-Magnetic Buzzer (SMD Type),华能,,
2,4,C48 C49 C50 C51,8pF 16V 0402,,C0402,CAP CER 0402,,,
3,1,C94,4.7nF 50V 0603,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_100nF-104-10-50V_C14663.html,C0603,CAP CER 0603,YAGEO(国巨),,
4,51,C7 C26 C27 C28 C29 C32 C33 C34 C35 C38 C41 C42 C43 C44 C47 C53 C54 C56 C57 C59 C60 C62 C63 C65 C66 C68 C69 C71 C72 C74 C75 C77 C78 C80 C81 C83 C84 C86 C87 C90 C91 C92 C93 C95 C96 C97 C98 C99 C100 C101 C102,100nF 25V 1206,,C1206,CAP CER 1206 CAP CER 0603 CAP CER 100nF 50V X7R 0402 CAP CER 0402,YAGEO(国巨),,
5,6,C55 C61 C67 C73 C79 C85,470nF 16V 0402,,C0402,CAP CER 0402,,,
6,9,C8 C13 C14 C30 C36 C37 C39 C45 C46,1uF 25V 0402,,C0402,CAP CER 0402 CAP CER 1206 CAP CER 1uF 10V X7R 0402,YAGEO(国巨),,
7,4,C3 C4 C10 C11,2.2uF 100V 0402,,C0402,CAP CER 0402,,,
8,12,C1 C2 C31 C40 C52 C58 C64 C70 C76 C82 C88 C89,4.7uF 100V 1206,,C1206,CAP CER 1206 CAP CER 4.7uF 16V X5R 0402 CAP CER 0402 CAP CER 0603,YAGEO(国巨),,
9,13,C5 C6 C12 C16 C17 C18 C19 C20 C21 C22 C23 C24 C25,10uF 100V 1206,,C1206,CAP CER 1206 CAP CER 0603,YAGEO(国巨),,
10,1,C9,22uF 10V 1206,,C1206,CAP CER 1206,,,
11,1,C15,25SVPF330M,https://lcsc.com/product-detail/Solid-Polymer-Electrolytic-Capacitor_PANASONIC_25SVPF330M_330uF-25V_C178367.html,CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD,CAP ALUM POLY 330uF ±20% 25V SMD,PANASONIC(松下),,
12,3,D2 D5 D13,BLUE 0603,https://www.lcsc.com/datasheet/C965810.pdf,LED0603-RD_WHITE,LED WARM WHITE YELLOW LENS 0603 SMD,XINGLIGHT(成兴光),,
13,1,D12,Green 0603,https://www.lcsc.com/datasheet/C965810.pdf,LED0603-RD_WHITE,LED WARM WHITE YELLOW LENS 0603 SMD,XINGLIGHT(成兴光),,
14,1,D10,Orange 0603,https://www.lcsc.com/datasheet/C965810.pdf,LED0603-RD_WHITE,LED WARM WHITE YELLOW LENS 0603 SMD,XINGLIGHT(成兴光),,
15,1,D8,PESD1CAN,https://www.lcsc.com/datasheet/C21713981.pdf,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,ESD DIODE 24VWM 70VC SOT-23,GOODWORK(固得沃克),,
16,3,D9 D16 D17,Red 0603,https://www.lcsc.com/datasheet/C965810.pdf,LED0603-RD_WHITE,LED WARM WHITE YELLOW LENS 0603 SMD,XINGLIGHT(成兴光),,
17,1,D1,SMAJ12A,https://lcsc.com/product-detail/TVS_Littelfuse_SMAJ12A_SMAJ12A_C148213.html,SMA_L4.3-W2.6-LS5.2-RD,TVS DIODE 12VWM 19.9VC DO-214AC(SMA),Littelfuse(美国力特),,
18,2,D3 D6,SMAJ5.0A,https://lcsc.com/product-detail/TVS_Littelfuse_SMAJ5-0A_SMAJ5-0A_C83329.html,SMA_L4.3-W2.6-LS5.2-RD,TVS DIODE 5VWM 9.2VC DO-214AC(SMA),Littelfuse(美国力特),,
19,1,D15,SS34,https://lcsc.com/product-detail/Schottky-Barrier-Diodes-SBD_TWGMC-SS34_C727060.html,SMA_L4.3-W2.5-LS5.0-RD,DIODE SCHOTTKY 40V SMA(DO-214AC),TWGMC(迪嘉),,
20,2,D4 D7,USBLC6-2SC6,https://www.lcsc.com/datasheet/C2827654.pdf,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,ESD DIODE 5VWM 12VC SOT-23-6,TECH PUBLIC(台舟),,
21,1,D14,White 0603,https://www.lcsc.com/datasheet/C965810.pdf,LED0603-RD_WHITE,LED WARM WHITE YELLOW LENS 0603 SMD,XINGLIGHT(成兴光),,
22,1,D11,Yellow 0603,https://www.lcsc.com/datasheet/C965810.pdf,LED0603-RD_WHITE,LED WARM WHITE YELLOW LENS 0603 SMD,XINGLIGHT(成兴光),,
23,4,FB1 FB2 FB3 FB4,1k @ 100MHz,https://www.lcsc.com/datasheet/C52178237.pdf,L0805,300mΩ 1 ±25% 1kΩ@100MHz 0805 Ferrite Beads and Chips RoHS 300m? 1 �25% 1k?@100MHz 0805 Ferrite Beads and Chips RoHS,PROD(谱罗德),,
24,15,J1 J2 J3 J4 J5 J6 J7 J8 J9 J10 J11 J12 J13 J14 J15,XT60PW-M,https://www.lcsc.com/datasheet/C98732.pdf,CONN-TH_XT60PW-M,Power Connectors RoHS CONN PWR JACK 2mm x 5.9mm TH R/A CONN HEADER SMD 9POS 1mm CONN RCPT Type-C 16POS SMD R/A CONN HEADER SMD 3POS 1.25mm CONN FFC FPC 23POS 0.3mm TOP AND BOTTOM CNT SMD R/A CONN HEADER 6POS 2.54mm DUAL ROW TH,AMASS(艾迈斯) 韩国韩荣 JST SHOU HAN(首韩) MOLEX JXTCONN(聚兴泰),,
25,1,L1,ANR3015T2R2M,https://www.lcsc.com/datasheet/C6364793.pdf,IND-SMD_L3.0-W3.0_SMNR3015,2.2uH 2A,APV(爱普微),,
26,1,Q3,2SC1815,https://www.lcsc.com/datasheet/C20069143.pdf,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,TRANS NPN 50V 0.15A SOT-23,R+O(宏嘉诚),,
27,2,Q1 Q2,HV10N03,https://www.lcsc.com/datasheet/C53329063.pdf,SOT-89-3_L4.5-W2.5-P1.50-LS4.0-BR,"3W 30V 10A 1.5V 18mΩ@10V 1 N-channel N-Channel SOT-89 Single FETs, MOSFETs RoHS",R+O(宏嘉诚),,
28,6,R7 R13 R19 R25 R31 R37,1R 0.1% 0402,,R0402,RES SMD 0402,,,
29,2,R59 R60,60R4 0.1% 0603,https://www.lcsc.com/datasheet/C4107493.pdf,R0603,RES SMD 0603,YAGEO(国巨),,
