Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",C0603,4,100nF 50V,C14663
C10,C0603,1,22uF 50V,C14663
C11,C0402,1,10uF 50V,C325464
"C12, C9",C0402,2,1uF 50V,C325464
C13,C0603,1,1uF 50V,C14663
C14,CAP-SMD_BD6.3-L6.6-W6.6-FD-1,1,SM337M025E0800,C44606382
"C15, C16, C17, C18, C19, C20, C21, C22, C23, C24",C0603,10,10uF 50V,C14663
"C25, C31, C32, C34, C40, C41",C0402,6,1uF 16V,C325464
"C26, C35",C0402,2,4.7uF 16V,C325464
"C27, C28, C29, C30, C33, C36, C37, C38, C39, C42, C48, C49, C52, C54, C55, C58, C60, C61, C64, C66, C67, C70, C72, C73, C76, C78, C79, C82, C84, C86, C87, C88, C89, C90, C95, C97, C98, C99",C0402,38,100nF 50V,C325464
"C43, C44, C45, C46",C0402,4,8pF 16V,C325464
"C47, C53, C59, C65, C71, C77",C0402,6,4.7uF 50V,C325464
"C5, C6",C1206,2,4.7uF 100V,C132170
"C50, C56, C62, C68, C74, C80",C0402,6,470nF 50V,C325464
C7,C1206,1,10uF 50V,C132170
C8,C1206,1,100nF 50V,C132170
"C83, C85, C91",C0603,3,4.7uF 50V,C14663
D1,SMA_L4.3-W2.6-LS5.2-RD,1,SMAJ12A,C148213
D10,LED0402-R-RD,1,ORANGE 0402,C20608784
D11,LED0402-R-RD,1,YELLOW 0402,C20608784
D12,LED0402-R-RD,1,GREEN 0402,C20608784
"D13, D2, D5",LED0402-R-RD,3,BLUE 0402,C20608784
D14,LED0402-R-RD,1,WHITE 0402,C20608784
"D15, D16, D9",LED0402-R-RD,3,RED 0402,C20608784
"D3, D6",SMA_L4.3-W2.6-LS5.2-RD,2,SMAJ5.0A,C83329
"D4, D7",SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,2,USBLC6-2SC6,C2827654
D8,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,PESD1CAN,C21713981
"FB1, FB2",L0805,2,1k @ 100MHz,C52178237
"FM1, FM2, FM3",Fiducial_1mm_Mask2mm,3,~,
J1,CONN-TH_XT30PW-F-1,1,XT30PW-F,C2913282
"J10, J9",USB-C-SMD_TYPE-C-16PIN-2MD-073,2,TYPE-C 16PIN 2MD,C2765186
J11,CONN-SMD_3P-P1.25_SHOU_1.25-3PLTDK,1,1.25-3PLTDK,C3008548
J12,FPC-SMD_23P-P0.60_502598-2393,1,5025982393,C7021254
"J13, J14",CONN-SMD_5P-P1.25_HCZZ0015-5,2,HCZZ0015-5,C7433471
J2,CONN-TH_P3.50_KF350-3.5-2P,1,KF350-3.5-2P,C474892
"J3, J4, J5, J6, J7, J8",CONN-SMD_9P-P1.00_BM09B-SRSS-TB,6,BM09B-SRSS-TB,C160395
L1,IND-SMD_L3.0-W3.0_SMNR3015,1,ANR3015T2R2M,C6364793
"Q1, Q2",SOT-89-3_L4.5-W2.5-P1.50-LS4.0-BR,2,HV10N03,C53329063
R1,R0402,1,41.2K 0.1%,C728576
"R10, R12, R15, R16, R18, R21, R22, R24, R27, R28, R30, R33, R34, R36, R39, R40, R42, R9",R0402,18,220R 0.1%,C728576
"R11, R14, R17, R20, R23, R26, R29, R32, R35, R38, R41, R45, R50, R8",R0402,14,1K 0.1%,C728576
"R13, R19, R25, R31, R37, R7",R0402,6,1R 0.1%,C728576
"R2, R5, R53, R54, R67, R68, R77, R78, R79, R80",R0402,10,10K 0.1%,C728576
R3,R0402,1,40.2K 0.1%,C728576
R4,R0402,1,13K 0.1%,C728576
"R43, R48",R0402,2,430K 0.1%,C728576
"R44, R49",R0402,2,620K 0.1%,C728576
"R46, R47, R51, R52",R0402,4,5.1K 0.1%,C728576
"R57, R58",R0603,2,60R4 0.1%,C4107493
"R59, R60, R65, R66",R0402,4,330R 0.1%,C728576
"R6, R71, R74, R76",R0402,4,100K 0.1%,C728576
"R61, R62, R63, R64",R0402,4,100R 0.1%,C728576
R72,R0402,1,47K 0.1%,C728576
"R73, R75",R0402,2,0R 0.1%,C728576
SW1,SW-SMD_DSIC02LSGET,1,DSIC02LSGET,C3293152
"TP1, TP2, TP3, TP4, TP5, TP6, TP7",TestPoint_Pad_D0.5mm,7,~,
"U1, U2",SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,2,LM74700QDBVRQ1,C2941042
"U10, U11, U12, U13, U8, U9",UQFN-28_L6.0-W6.0-P0.65-BL-EP4.0,6,"TB9051FTG,EL",C2150635
"U14, U15",SOP-8_L4.9-W3.9-P1.27-LS6.0-BL-1,2,TJA1051T/3,C5342108
U16,DFN-4_L1.5-W1.5-P0.80-TL-EP,1,SHT40-N-NF,C54946589
U3,QFN-30_L6.0-W4.0-P0.50_TLVM13630RDHR,1,TPSM63603RDHR,C5219327
U4,WSON-8_L2.0-W2.0-P0.50-TL-EP,1,TPS62162DSG,C40256
U5,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,TLV75533PDBVR,C404027
"U6, U7",LQFP-64_L10.0-W10.0-P0.50-LS12.0-BL,2,STM32G474RET6,C15742
"X1, X2",CRYSTAL-SMD_4P-L3.2-W2.5-BL,2,X322516MLB4SI,C13738
