Designator,Mid X,Mid Y,Rotation,Layer
C1,83.09,-7.99,90.0,top
C10,106.39,7.71,90.0,bottom
C11,107.69,4.81,90.0,bottom
C12,110.389999,0.956,90.0,bottom
C13,104.29,1.21,90.0,bottom
C14,89.99,-12.19,270.0,bottom
C15,103.74,11.085,0.0,top
C16,103.740001,9.285,0.0,top
C17,103.739997,7.485006,0.0,top
C18,103.74,5.685,0.0,top
C19,103.740002,3.885,0.0,top
C2,83.09,-11.09,270.0,top
C20,103.739999,2.085,0.0,top
C21,103.74,0.285,0.0,top
C22,103.740001,-1.515,0.0,top
C23,103.740001,-3.315,0.0,top
C24,103.740002,-5.115,0.0,top
C25,109.49,32.81,180.0,top
C26,121.89,32.86,0.0,top
C27,109.49,45.21,180.0,top
C28,122.29,44.81,90.0,top
C29,109.49,33.81,180.0,top
C3,90.19,-12.39,90.0,top
C30,109.49,44.21,180.0,top
C31,123.865,42.76,180.0,top
C32,124.69,41.21,90.0,top
C33,123.49,41.21,90.0,top
C34,86.99,32.81,180.0,top
C35,99.39,32.81,0.0,top
C36,86.99,44.01,180.0,top
C37,86.99,45.01,180.0,top
C38,99.79,44.81,90.0,top
C39,86.99,33.81,180.0,top
C4,90.19,-15.49,270.0,top
C40,101.39,43.335,180.0,top
C41,101.99,41.77,90.0,top
C42,100.99,41.77,90.0,top
C43,116.29,41.51,180.0,bottom
C44,116.44,36.46,0.0,bottom
C45,93.79,41.51,180.0,bottom
C46,93.89,36.41,0.0,bottom
C47,100.698002,21.935358,0.0,top
C48,100.698002,19.535358,180.0,top
C49,95.838004,18.300006,180.0,top
C5,104.81,-12.474,270.0,bottom
C50,100.698002,24.75996,180.0,top
C52,117.19,32.01,0.0,bottom
C53,87.880004,21.905403,0.0,top
C54,87.880004,19.505403,180.0,top
C55,83.020006,18.270051,180.0,top
C56,87.880004,24.730005,180.0,top
C58,94.74,32.01,0.0,bottom
C59,87.880003,9.905401,0.0,top
C6,113.446,-12.474,90.0,bottom
C60,87.880003,7.505401,180.0,top
C61,83.020005,6.270049,180.0,top
C62,87.880003,12.730003,180.0,top
C64,104.04,36.56,0.0,bottom
C65,87.88,-2.094602,0.0,top
C66,87.88,-4.494602,180.0,top
C67,83.020002,-5.729954,180.0,top
C68,87.88,0.73,180.0,top
C7,109.374,-2.354,180.0,bottom
C70,104.04,39.06,0.0,bottom
C71,100.747999,9.949361,0.0,top
C72,100.747999,7.549361,180.0,top
C73,95.888001,6.314009,180.0,top
C74,100.747999,12.773963,180.0,top
C76,126.59,36.61,0.0,bottom
C77,100.798,-2.054212,0.0,top
C78,100.798,-4.454212,180.0,top
C79,95.938002,-5.689564,180.0,top
C8,109.374,-4.854,180.0,bottom
C80,100.798,0.77039,180.0,top
C82,126.54,39.06,0.0,bottom
C83,64.17,7.2,180.0,bottom
C84,71.9125,11.25,180.0,bottom
C85,64.169998,5.399998,180.0,bottom
C86,75.15,-3.6,180.0,bottom
C87,83.72,33.5,90.0,bottom
C88,73.814,37.177998,0.0,bottom
C89,83.72,39.088,90.0,bottom
C9,111.69,-15.69,270.0,bottom
